feature,importance,mean_shap_value
average_cadence,0.54813606,-0.54813606
30d_avg_cadence,0.4324767,0.4324767
30d_avg_moving_time,0.17343569,-0.17343569
distance,0.10508271,-0.10508271
temperature,0.091154344,-0.091154344
max_heart_rate,0.06020513,0.06020513
7d_avg_moving_time,0.052282196,-0.052282196
elevation_gain,0.04794735,-0.04794735
max_speed,0.042408776,-0.042408776
moving_time,0.040140998,-0.040140998
average_heart_rate,0.033353087,0.033353087
hr_t-4,0.031637963,-0.031637963
heart_rate_diff,0.029588787,0.029588787
hr_t-3,0.02868285,-0.02868285
30d_avg_distance,0.028432257,-0.028432257
30d_avg_heart_rate,0.027473237,-0.027473237
7d_avg_cadence,0.026796315,-0.026796315
cadence_t-4,0.024857031,-0.024857031
distance_diff,0.02384455,0.02384455
days_since_last_run,0.023567736,-0.023567736
cadence_t-1,0.022980612,-0.022980612
7d_avg_heart_rate,0.018451635,-0.018451635
cadence_t-2,0.016539138,-0.016539138
cadence_t-3,0.016091798,-0.016091798
average_grade,0.013075256,-0.013075256
7d_total_distance,0.012535177,0.012535177
7d_avg_grade,0.010521169,-0.010521169
30d_avg_relative_effort,0.00987275,-0.00987275
elevation_loss,0.0098596085,-0.0098596085
elapsed_time,0.0095269885,-0.0095269885
30d_run_count,0.009004713,-0.009004713
month,0.008533642,0.008533642
day_of_week,0.008119979,-0.008119979
7d_avg_relative_effort,0.007565096,-0.007565096
humidity,0.007377391,-0.007377391
week_number,0.0070944573,0.0070944573
7d_run_count,0.0058473377,-0.0058473377
7d_avg_distance,0.0057892012,-0.0057892012
relative_effort,0.0022084925,-0.0022084925
30d_total_distance,0.0014771742,0.0014771742
distance_previous,0.0013323096,-0.0013323096
30d_avg_grade,0.001212094,0.001212094
hr_t-2,0.001128282,0.001128282
heart_rate_previous,0.00089584116,-0.00089584116
"7d_avg_pace_7'46""",0.00087398064,0.00087398064
"pace_previous_6'29""",0.0007245365,-0.0007245365
"7d_avg_pace_7'29""",0.0006300284,0.0006300284
pace_t-2_6:29,0.0006211018,-0.0006211018
"7d_avg_pace_6'02""",0.0005438232,-0.0005438232
"7d_avg_pace_6'29""",0.000489952,-0.000489952
"pace_diff_1'55""",0.00044815324,-0.00044815324
pace_t-2_6:37,0.0004320494,-0.0004320494
"pace_previous_6'55""",0.0003771755,-0.0003771755
"pace_previous_8'32""",0.00037347453,0.00037347453
"pace_diff_20'50""",0.0003729597,-0.0003729597
pace_t-3_6:06,0.00035042563,-0.00035042563
"30d_avg_pace_8'16""",0.0003375866,0.0003375866
pace_t-3_6:29,0.00032002036,-0.00032002036
"7d_avg_pace_6'07""",0.00030842447,-0.00030842447
pace_t-3_8:47,0.0003012569,0.0003012569
"pace_diff_0'44""",0.00029663194,0.00029663194
"30d_avg_pace_5'46""",0.00029164623,-0.00029164623
"30d_avg_pace_6'07""",0.00027303377,-0.00027303377
pace_t-2_5:25,0.0002703296,-0.0002703296
"pace_diff_0'19""",0.0002689116,-0.0002689116
"pace_previous_6'41""",0.0002581469,0.0002581469
"7d_avg_pace_7'49""",0.00025726168,0.00025726168
"7d_avg_pace_6'52""",0.00021497835,-0.00021497835
"30d_avg_pace_6'15""",0.0002124534,-0.0002124534
pace_t-2_7:45,0.00021046877,0.00021046877
hr_t-1,0.0002052927,-0.0002052927
"30d_avg_pace_6'08""",0.00020414675,-0.00020414675
"pace_previous_7'24""",0.00018960323,-0.00018960323
"pace_previous_7'26""",0.00018460075,0.00018460075
pace_t-2_6:38,0.00016509007,-0.00016509007
pace_t-4_5:57,0.0001603084,-0.0001603084
"7d_avg_pace_6'30""",0.00015519629,-0.00015519629
pace_t-2_6:27,0.00015405941,-0.00015405941
"30d_avg_pace_7'17""",0.00015187672,-0.00015187672
"30d_avg_pace_8'12""",0.00014859892,0.00014859892
"pace_diff_0'49""",0.00014823879,0.00014823879
"pace_previous_6'02""",0.00014593473,-0.00014593473
"7d_avg_pace_6'35""",0.0001430466,-0.0001430466
"30d_avg_pace_5'38""",0.00014215657,-0.00014215657
"30d_avg_pace_7'47""",0.0001420654,0.0001420654
pace_t-2_6:43,0.00014017569,-0.00014017569
"30d_avg_pace_5'48""",0.00013952063,-0.00013952063
pace_t-2_7:07,0.00013949192,0.00013949192
"pace_diff_0'03""",0.00013185709,-0.00013185709
pace_t-2_5:58,0.00012897865,-0.00012897865
"pace_previous_6'27""",0.000118738804,-0.000118738804
"7d_avg_pace_6'31""",0.000118102806,-0.000118102806
"pace_previous_7'40""",0.00011761861,0.00011761861
"7d_avg_pace_6'18""",0.00011465515,-0.00011465515
pace_t-2_7:52,0.00011155384,0.00011155384
"7d_avg_pace_5'44""",0.00010604697,-0.00010604697
"pace_previous_5'51""",0.000105047875,-0.000105047875
"pace_previous_8'22""",0.00010435126,0.00010435126
"pace_diff_-0'11""",9.591559e-05,9.591559e-05
"pace_previous_9'57""",9.541146e-05,9.541146e-05
"pace_previous_6'36""",9.03489e-05,9.03489e-05
"pace_previous_5'52""",8.970113e-05,-8.970113e-05
"7d_avg_pace_6'16""",8.842894e-05,-8.842894e-05
"pace_diff_-0'41""",8.6169384e-05,8.6169384e-05
"pace_previous_5'53""",8.571758e-05,-8.571758e-05
"7d_avg_pace_7'44""",8.379568e-05,8.379568e-05
"pace_diff_0'01""",8.333102e-05,-8.333102e-05
pace_t-3_6:02,8.286073e-05,-8.286073e-05
"pace_previous_5'55""",8.218529e-05,-8.218529e-05
pace_t-3_7:20,8.012225e-05,8.012225e-05
"pace_previous_5'41""",7.97751e-05,-7.97751e-05
"7d_avg_pace_7'58""",7.948082e-05,7.948082e-05
pace_t-3_7:31,7.7068704e-05,-7.7068704e-05
"pace_diff_0'20""",7.687718e-05,-7.687718e-05
"7d_avg_pace_7'38""",7.543345e-05,7.543345e-05
"7d_avg_pace_6'48""",7.4222466e-05,-7.4222466e-05
"pace_diff_0'55""",7.251924e-05,-7.251924e-05
"pace_diff_-0'08""",7.191362e-05,7.191362e-05
"30d_avg_pace_8'56""",7.1337156e-05,7.1337156e-05
"pace_previous_8'27""",6.599972e-05,6.599972e-05
"pace_diff_-0'12""",6.3101266e-05,-6.3101266e-05
pace_t-4_6:02,6.271525e-05,-6.271525e-05
"pace_previous_7'48""",6.214896e-05,6.214896e-05
