Feature,Importance
days_since_last_run,29.8325138092041
average_cadence,24.896568298339844
30d_avg_cadence,14.836182594299316
"pace_diff_20'50""",9.112469673156738
"pace_previous_8'54""",3.773029327392578
pace_t-4_6:21,3.5309386253356934
"7d_avg_pace_6'48""",2.9454383850097656
"pace_previous_8'27""",2.87566876411438
pace_t-3_7:38,2.5093231201171875
pace_t-1_6:29,2.276702880859375
"pace_previous_7'37""",2.1929550170898438
pace_t-2_6:21,2.1535415649414062
pace_t-2_7:07,2.008429765701294
"30d_avg_pace_7'17""",1.9126867055892944
pace_t-3_7:31,1.8702807426452637
"7d_avg_pace_7'29""",1.8346327543258667
"30d_avg_pace_8'04""",1.8008747100830078
pace_t-2_7:45,1.7997232675552368
7d_avg_cadence,1.7798116207122803
average_heart_rate,1.7388317584991455
"pace_diff_1'55""",1.7334116697311401
pace_t-3_5:06,1.7154477834701538
"pace_diff_-1'29""",1.6964988708496094
pace_t-1_7:24,1.665191650390625
"pace_previous_6'55""",1.644363522529602
"7d_avg_pace_6'07""",1.6416131258010864
"7d_avg_pace_6'19""",1.5978660583496094
"pace_diff_0'44""",1.5599806308746338
"7d_avg_pace_7'00""",1.555023193359375
pace_t-2_7:52,1.5161209106445312
"pace_previous_5'25""",1.5016775131225586
distance,1.4548370838165283
"7d_avg_pace_6'34""",1.4449996948242188
"30d_avg_pace_6'07""",1.432944655418396
"pace_diff_1'42""",1.4324417114257812
"pace_diff_-0'41""",1.3953437805175781
week_number,1.3335838317871094
pace_t-2_6:43,1.3220738172531128
pace_t-4_6:14,1.2583084106445312
pace_t-3_8:47,1.2399541139602661
"pace_previous_5'40""",1.2201054096221924
pace_t-2_6:29,1.1680960655212402
"pace_previous_5'49""",1.1561279296875
"pace_diff_-1'34""",1.1408621072769165
"7d_avg_pace_6'52""",1.1327719688415527
moving_time,1.1268314123153687
temperature,1.0620523691177368
"7d_avg_pace_6'31""",1.0141825675964355
"30d_avg_pace_6'08""",1.0122523307800293
"pace_previous_7'24""",0.9674443602561951
pace_t-3_7:20,0.9565938115119934
"pace_previous_6'29""",0.9525876045227051
"7d_avg_pace_6'46""",0.9419107437133789
heart_rate_diff,0.940851628780365
"7d_avg_pace_6'02""",0.9307299852371216
pace_t-4_5:55,0.8922996520996094
elapsed_time,0.8865517973899841
pace_t-4_6:02,0.8746414184570312
"7d_avg_pace_6'16""",0.8444011807441711
cadence_t-2,0.8227027654647827
"30d_avg_pace_8'56""",0.8198623657226562
"pace_diff_-0'11""",0.8144941926002502
max_heart_rate,0.8048188090324402
pace_t-1_6:55,0.7810016870498657
"30d_avg_pace_8'21""",0.7790489196777344
pace_t-2_6:37,0.7776845693588257
"pace_previous_8'31""",0.773524284362793
"pace_diff_0'55""",0.7689563632011414
"7d_avg_pace_6'30""",0.7410745024681091
pace_t-3_7:45,0.7388248443603516
"pace_previous_7'45""",0.7345962524414062
"7d_avg_pace_7'58""",0.6834498643875122
"pace_diff_-0'08""",0.6638202667236328
"pace_diff_0'03""",0.661150336265564
pace_t-3_6:29,0.6595839858055115
pace_t-2_6:38,0.655110239982605
pace_t-4_6:38,0.6477127075195312
"pace_previous_7'52""",0.6441993713378906
7d_avg_heart_rate,0.6401732563972473
"30d_avg_pace_7'51""",0.6351763606071472
max_speed,0.6136173009872437
pace_t-2_6:53,0.6052007675170898
